level	number	indep(index, 1)	PAE_contours_p[0, 0, ::]
1.74437967409404630E1	1	12	3.79286990253320640E-1 / 1.50683042122901070E2
1.74437967409404630E1	1	13	3.60178871340432090E-1 / 1.55368531792042770E2
1.74437967409404630E1	1	14	3.28809992155539140E-1 / 1.63596285263093870E2
1.74437967409404630E1	1	15	3.21960206816854110E-1 / 1.65853498656562050E2
1.74437967409404630E1	1	16	3.01212611707860440E-1 / 1.72166876313634050E2
1.74437967409404630E1	1	17	2.89151147473650160E-1 / 1.78019369997407040E2
1.74437967409404630E1	1	18	2.84191982774115060E-1 / 1.80000000000000000E2
1.74437967409404630E1	1	19	2.64710710245991710E-1 / -1.67682322742974680E2
1.74437967409404630E1	1	20	2.52194607564462770E-1 / -1.58395573388269880E2
1.74437967409404630E1	1	21	2.48890937646848180E-1 / -1.52085609393666070E2
1.74437967409404630E1	1	22	2.42975884872340230E-1 / -1.42686312687760200E2
1.74437967409404630E1	1	23	2.44815669098568510E-1 / -1.35778099971041020E2
1.74437967409404630E1	1	24	2.44536098906205710E-1 / -1.30583780378703020E2
1.74437967409404630E1	1	25	2.53402193804455990E-1 / -1.19688479490270060E2
1.74437967409404630E1	1	26	2.61379536772951140E-1 / -1.10356148309429520E2
1.74437967409404630E1	1	27	2.70309085135068240E-1 / -1.05338776207046750E2
1.74437967409404630E1	1	28	2.81367649554498020E-1 / -9.80843781205592440E1
1.74437967409404630E1	1	29	2.95343845090432210E-1 / -9.26991832813416220E1
1.74437967409404630E1	1	30	3.01155827505366340E-1 / -9.00000000000000180E1
1.74437967409404630E1	1	31	3.25830645630571870E-1 / -8.17595125037910720E1
1.74437967409404630E1	1	32	3.44003936623365900E-1 / -7.61092309055944320E1
1.74437967409404630E1	1	33	3.58766634210233270E-1 / -7.20611480439299430E1
1.74437967409404630E1	1	34	3.86542426146386480E-1 / -6.53138199139224260E1
1.74437967409404630E1	1	35	3.95288552006409870E-1 / -6.29581445601831820E1
1.74437967409404630E1	1	36	4.29358209315046930E-1 / -5.58910926407904180E1
1.74437967409404630E1	1	37	4.37845041005888010E-1 / -5.33754193680687990E1
1.74437967409404630E1	1	38	4.73800052287173660E-1 / -4.65025936945894180E1
1.74437967409404630E1	1	39	5.04789242419783330E-1 / -3.81010180380562600E1
1.74437967409404630E1	1	40	5.25184301334329890E-1 / -3.46635528152414900E1
1.74437967409404630E1	1	41	5.38687224018431010E-1 / -3.11399466939597770E1
1.74437967409404630E1	1	42	5.50159677863993050E-1 / -2.59725016639489370E1
1.74437967409404630E1	1	43	5.80635599138819900E-1 / -1.86536443572431420E1
1.74437967409404630E1	1	44	5.98412175133983130E-1 / -1.16089712299928900E1

level	number	indep(index, 1)	PAE_contours_p[2, 0, ::]
2.14437967409404620E1	1	0	5.70358658174622150E-1 / 1.02358123464467350E2
2.14437967409404620E1	1	1	5.60314147925250690E-1 / 1.03395799710782790E2
2.14437967409404620E1	1	2	5.24531932537899690E-1 / 1.07785311345703080E2
2.14437967409404620E1	1	3	5.06996169235651450E-1 / 1.10330984525753490E2
2.14437967409404620E1	1	4	4.99429091868889330E-1 / 1.11622337280071050E2
2.14437967409404620E1	1	5	4.45699511904063430E-1 / 1.18170774995293960E2
2.14437967409404620E1	1	6	4.30809532437756370E-1 / 1.20439541386845360E2
2.14437967409404620E1	1	7	3.85424721335152930E-1 / 1.26338942711055860E2
2.14437967409404620E1	1	8	3.62585678906752710E-1 / 1.29799302462107250E2
2.14437967409404620E1	1	9	3.27704560464740350E-1 / 1.35044674461696080E2
